d0,d1,d2,d3,d4,d5,d6,d7,RD,WR,cs,A0,A1,A2,A3,A4,A5,A6,A7,,A,D,RD,WR,CS
1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,,FF,01,0,0,0
1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,,01,01,0,0,1
0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,,01,00,1,0,1
0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,,02,00,0,0,1
1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,,02,21,1,0,1
1,0,0,0,0,1,0,0,1,1,1,1,0,1,0,1,0,0,0,,15,21,0,0,0
1,0,1,1,1,0,1,1,0,1,1,1,0,1,0,1,0,0,0,,15,DD,1,0,0
1,0,1,1,1,0,1,1,1,1,1,0,1,1,0,1,0,0,0,,16,DD,0,0,0
1,0,1,1,0,1,0,1,0,1,1,0,1,1,0,1,0,0,0,,16,AD,1,0,0
1,0,1,1,0,1,0,1,1,1,1,1,0,1,1,0,1,0,1,,AD,AD,0,0,0
0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0,1,0,1,,AD,00,0,1,0
0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,0,1,0,1,,AE,00,0,0,0
1,0,0,0,0,1,0,0,1,0,1,0,1,1,1,0,1,0,1,,AE,21,0,1,0
1,0,0,0,0,1,0,0,1,1,1,1,1,1,0,1,0,0,0,,17,21,0,0,0
0,0,1,1,0,1,1,1,0,1,1,1,1,1,0,1,0,0,0,,17,EC,1,0,0
0,0,1,1,0,1,1,1,1,1,1,0,0,0,1,1,0,0,0,,18,EC,0,0,0
1,1,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,,18,03,1,0,0
1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,,FF,03,0,0,0
1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,,FF,03,0,0,0
1,1,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,,03,03,0,0,1
1,1,1,1,1,1,1,1,0,1,0,1,1,0,0,0,0,0,0,,03,FF,1,0,1
1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,,04,FF,0,0,1
1,1,1,1,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,,04,FF,1,0,1
1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,,19,FF,0,0,0
1,0,1,1,1,0,1,1,0,1,1,1,0,0,1,1,0,0,0,,19,DD,1,0,0
1,0,1,1,1,0,1,1,1,1,1,0,1,0,1,1,0,0,0,,1A,DD,0,0,0
1,1,1,1,0,1,0,1,0,1,1,0,1,0,1,1,0,0,0,,1A,AF,1,0,0
1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0,1,0,1,,AF,AF,0,0,0
1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,1,,AF,FF,0,1,0
1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,0,1,,B0,FF,0,0,0
1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,1,1,0,1,,B0,FF,0,1,0
1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,,1B,FF,0,0,0
0,0,1,1,0,1,1,1,0,1,1,1,1,0,1,1,0,0,0,,1B,EC,1,0,0
0,0,1,1,0,1,1,1,1,1,1,0,0,1,1,1,0,0,0,,1C,EC,0,0,0
1,0,1,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,0,,1C,05,1,0,0
1,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,,FF,05,0,0,0
1,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,,FF,05,0,0,0
1,0,1,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,,05,05,0,0,1
0,1,1,1,1,1,1,1,0,1,0,1,0,1,0,0,0,0,0,,05,FE,1,0,1
0,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,,06,FE,0,0,1
0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,,06,00,1,0,1
0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,1,0,0,0,,1D,00,0,0,0
1,0,1,1,1,0,1,1,0,1,1,1,0,1,1,1,0,0,0,,1D,DD,1,0,0
1,0,1,1,1,0,1,1,1,1,1,0,1,1,1,1,0,0,0,,1E,DD,0,0,0
1,0,0,0,1,1,0,1,0,1,1,0,1,1,1,1,0,0,0,,1E,B1,1,0,0
1,0,0,0,1,1,0,1,1,1,1,1,0,0,0,1,1,0,1,,B1,B1,0,0,0
0,1,1,1,1,1,1,1,1,0,1,1,0,0,0,1,1,0,1,,B1,FE,0,1,0
0,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,0,1,,B2,FE,0,0,0
0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,1,0,1,,B2,00,0,1,0
0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,,1F,00,0,0,0
0,1,1,0,0,1,1,1,0,1,1,1,1,1,1,1,0,0,0,,1F,E6,1,0,0
0,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,1,0,0,,20,E6,0,0,0
0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,,20,00,1,0,0
0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,,FF,00,0,0,0
0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,,FF,00,0,0,0
0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,,00,00,0,0,1
0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,,00,34,1,0,1
0,0,1,0,1,1,0,0,1,1,1,1,0,0,0,0,1,0,0,,21,34,0,0,0
1,1,1,0,1,1,0,0,0,1,1,1,0,0,0,0,1,0,0,,21,37,1,0,0
1,1,1,0,1,1,0,0,1,1,1,0,1,0,0,0,1,0,0,,22,37,0,0,0
0,0,1,0,0,0,1,1,0,1,1,0,1,0,0,0,1,0,0,,22,C4,1,0,0
0,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,,FF,C4,0,0,0
0,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,,FF,C4,0,0,0
0,0,1,0,0,0,1,1,1,1,1,1,0,0,1,1,0,1,1,,D9,C4,0,0,0
0,0,1,0,1,1,0,0,1,0,1,1,0,0,1,1,0,1,1,,D9,34,0,1,0
0,0,1,0,1,1,0,0,1,1,1,0,1,0,0,0,1,0,0,,22,34,0,0,0
0,0,1,0,0,0,1,1,0,1,1,0,1,0,0,0,1,0,0,,22,C4,1,0,0
0,0,1,0,0,0,1,1,1,1,1,1,1,0,0,0,1,0,0,,23,C4,0,0,0
1,1,1,0,0,0,0,0,0,1,1,1,1,0,0,0,1,0,0,,23,07,1,0,0
1,1,1,0,0,0,0,0,1,1,1,0,0,1,0,0,1,0,0,,24,07,0,0,0
0,1,1,0,0,0,0,1,0,1,1,0,0,1,0,0,1,0,0,,24,86,1,0,0
0,1,1,0,0,0,0,1,1,1,1,1,0,1,0,0,1,0,0,,25,86,0,0,0
1,1,1,0,0,0,0,0,0,1,1,1,0,1,0,0,1,0,0,,25,07,1,0,0
1,1,1,0,0,0,0,0,1,1,1,0,1,1,0,0,1,0,0,,26,07,0,0,0
0,0,0,0,1,0,0,0,0,1,1,0,1,1,0,0,1,0,0,,26,10,1,0,0
0,0,0,0,1,0,0,0,1,1,1,1,1,1,0,0,1,0,0,,27,10,0,0,0
1,1,0,0,1,1,0,0,0,1,1,1,1,1,0,0,1,0,0,,27,33,1,0,0
1,1,0,0,1,1,0,0,1,1,1,0,0,0,1,0,1,0,0,,28,33,0,0,0
0,0,1,0,0,0,1,1,0,1,1,0,0,0,1,0,1,0,0,,28,C4,1,0,0
0,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,,FF,C4,0,0,0
